,Title,Author,Rating,Review,Price
0,Spelling for Life: Uncovering the Simplicity and Science of Spelling,Lyn Stone,4.7 out of 5 stars,54 ratings,$40.80 with 23 percent savings
1,"The Art of Game Design: A Book of Lenses, Third Edition",Jesse Schell,4.7 out of 5 stars,470 ratings,$94.75 with 21 percent savings
2,Let it go: Emotions are Energy in Motion,Craig Phillips,None,12 ratings,$40.63
3,The Housemaid: An absolutely addictive psychological thriller with a jaw-dropping twist,Freida McFadden,4.3 out of 5 stars,"287,860 ratings",$14.00 with 39 percent savings
4,King of Sloth: A Forced Proximity Romance (Kings of Sin Book 4),Ana Huang,None,"10,133 ratings",None
5,Atomic Habits: the life-changing million-copy #1 bestseller,James Clear,4.6 out of 5 stars,"160,348 ratings",$19.44 with 47 percent savings
7,The Lost Bookshop: The most charming and uplifting novel for 2024 and the perfect gift for book lovers!,Evie Woods,4.4 out of 5 stars,"60,072 ratings",$22.99
8,On Her Watch (Bree Taggert Book 8),Melinda Leigh,4.5 out of 5 stars,2 ratings,None
9,Yellowface: The instant #1 Sunday Times bestseller and Reese Witherspoon Book Club pick from author R.F. Kuang,Rebecca Kuang,None,"35,817 ratings",$16.00 with 52 percent savings
10,The Tattooist of Auschwitz: Based on an incredible true story,Heather Morris,4.6 out of 5 stars,"160,957 ratings",None
11,The Diary of a CEO: The 33 Laws of Business and Life,Steven Bartlett,4.7 out of 5 stars,"1,904 ratings",$22.00 with 37 percent savings
12,My Favourite Mistake: The No. 1 Sunday Times bestseller,Marian Keyes,4.3 out of 5 stars,"2,379 ratings",None
13,"The Silent Patient: The Record-Breaking, Multimillion Copy Sunday Times Bestselling Thriller And Tiktok Sensation",Alex Michaelides,None,"303,586 ratings",$14.00 with 39 percent savings
14,"A Good Girl's Guide to Murder: TikTok made me buy it! The first book in the bestselling thriller trilogy, as seen in Netflix's Heartstopper!: Book 1",Holly Jackson,4.4 out of 5 stars,"51,947 ratings",$12.00 with 40 percent savings
15,Her Dying Secret: A completely addictive and heart-racing crime and mystery thriller (Detective Josie Quinn Book 20),Lisa Regan,None,1 rating,None
16,The Paper Palace: The No.1 New York Times Bestseller and Reese Witherspoon Bookclub Pick,Miranda Cowley Heller,None,"79,451 ratings",$12.00 with 48 percent savings
17,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,4.5 out of 5 stars,"222,100 ratings",$12.00 with 48 percent savings
18,"The Maid: The Sunday Times and No.1 New York Times bestseller, and Winner of the Goodreads Choice Awards for best mystery thriller: Book 1",Nita Prose,None,"89,150 ratings",$12.00 with 48 percent savings
19,"Read People Like a Book: How to Analyze, Understand, and Predict People’s Emotions, Thoughts, Intentions, and Behaviors",Patrick King,4.3 out of 5 stars,"4,572 ratings",$24.39
20,Claris: Bonjour Riviera: The Chicest Mouse in Paris (Volume 3),Megan Hess,None,381 ratings,$20.79 with 23 percent savings
21,Claris: Pasta Disaster: Claris: The Chicest Mouse in Paris (Volume 7),Megan Hess,None,24 ratings,$15.00 with 44 percent savings
22,Claris: Palace Party: The Chicest Mouse in Paris (Volume 5),Megan Hess,None,139 ratings,$20.79 with 23 percent savings
23,"Break and Enter: A Sexy, Thrilling Romantic Suspense (Callahan Security Series Book 1)",Lori Matthews,4.3 out of 5 stars,"3,211 ratings",None
